Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées
;;OUI;;35;13;;;OUI;OUI;2022-03-10T17:58:32+01:00;;;
;;OUI;;18;18;;;OUI;OUI;2022-03-10T17:55:01+01:00;;;
;;OUI;;22;4;;;OUI;OUI;2022-03-10T17:58:20+01:00;;;
;;OUI;;9;16;;;OUI;OUI;2022-03-10T17:58:13+01:00;;;
;;OUI;;39;12;;;OUI;OUI;2022-03-10T17:57:32+01:00;;;
;;OUI;;8;18;;;OUI;OUI;2022-03-10T17:57:41+01:00;;;
;;OUI;;24;4;;;OUI;OUI;2022-03-10T17:58:13+01:00;;;
;;OUI;;17;3;;;OUI;OUI;2022-03-10T17:58:10+01:00;;;
;;OUI;;39;1;;;OUI;OUI;2022-03-10T17:56:59+01:00;;;
;;OUI;;20;8;;;OUI;OUI;2022-03-10T17:55:31+01:00;;;
;;OUI;;4;31;;;OUI;OUI;2022-03-10T17:57:33+01:00;;;
;;OUI;;18;3;;;OUI;OUI;2022-03-10T17:57:58+01:00;;;
;;OUI;;20;16;;;OUI;OUI;2022-03-10T17:58:22+01:00;;;
;;OUI;;19;5;;;OUI;OUI;2022-03-10T17:57:11+01:00;;;
;;OUI;;21;6;;;OUI;OUI;2022-03-10T17:57:28+01:00;;;
;;OUI;;11;36;;;OUI;OUI;2022-03-10T17:56:42+01:00;;;
;;OUI;;45;7;;;OUI;OUI;2022-03-10T17:57:48+01:00;;;
;;OUI;;16;3;;;OUI;OUI;2022-03-10T17:54:04+01:00;;;
;;OUI;;47;6;;;OUI;OUI;2022-03-10T17:57:23+01:00;;;
;;OUI;;28;28;;;OUI;OUI;2022-03-10T17:58:49+01:00;;;
;;OUI;;25;4;;;OUI;OUI;2022-03-10T17:52:22+01:00;;;
;;OUI;;12;18;;;OUI;OUI;2022-03-10T17:58:15+01:00;;;
;;OUI;;27;6;;;OUI;OUI;2022-03-10T17:58:09+01:00;;;
;;OUI;;11;22;;;OUI;OUI;2022-03-10T17:56:03+01:00;;;
;;OUI;;21;13;;;OUI;OUI;2022-03-10T17:57:01+01:00;;;
;;OUI;;14;5;;;OUI;OUI;2022-03-10T17:58:48+01:00;;;
;;OUI;;12;7;;;OUI;OUI;2022-03-10T17:56:38+01:00;;;
